YEAR,TEAM,SEED,CONF,KADJ EM,KADJ O,KADJ D,KADJ T,BADJ EM,BADJ O,BADJ D,BARTHAG,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,2PT%,2PT%D,3PT%,3PT%D,2PTR,3PTR,EXP,TALENT,AVG HGT,EFF HGT,PPPO,PPPD,WAB,ELITE SOS,BADJ T,ROUNDS_WON,RELATIVE RATING,KILLSHOTS PER GAME,KILL SHOTS CONCEDED PER GAME,KILLSHOTS MARGIN,ROSTER RANK,INJURY RANK,NET RPI,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,RESUME,R SCORE,SEED_DIVERGENCE,COACH,COACH_PREMIUM
2008,Pittsburgh,4,BE,19.5116,116.407,96.8952,63.1376,20.4,116.1,95.7,0.902,51.1,48.0,36.7,29.1,18.4,21.0,39.7,65.9,51.0,47.3,34.3,32.8,69.7,30.3,1.727,65.161,75.961,78.824,1.109,0.988,5.3,33.073,65.2,1.0,,,,,,,15,16,23.0,6,3,9,2,10,99.7,-2,Jamie Dixon,-6.3
2008,Connecticut,4,BE,19.1215,115.173,96.0511,66.6029,20.0,114.4,94.4,0.901,50.8,44.0,48.6,23.8,19.4,17.4,39.3,65.7,49.7,40.1,35.9,34.8,74.8,25.2,1.417,85.537,78.462,83.02,1.104,0.975,4.3,29.747,69.3,0.0,,,,,,,18,22,28.0,6,2,8,2,13,99.2,-3,Jim Calhoun,2.7
2008,Vanderbilt,4,SEC,13.5159,112.598,99.0821,67.6816,14.4,111.6,97.2,0.83,54.4,49.3,38.9,31.5,19.7,20.4,30.8,66.3,50.6,48.0,40.4,34.7,61.7,38.3,1.665,63.746,77.422,81.039,1.097,1.013,3.8,23.876,70.5,0.0,,,,,,,12,30,51.0,4,9,13,1,22,98.2,-7,Kevin Stallings,-4.4
2008,Clemson,5,ACC,22.3653,114.102,91.7372,67.3837,23.1,113.6,90.5,0.932,52.0,47.8,30.4,33.1,20.4,24.6,40.2,63.3,49.6,49.1,38.0,29.8,67.3,32.7,1.663,48.799,77.279,79.903,1.093,0.959,4.4,32.707,69.6,0.0,,,,,,,19,20,12.0,4,5,9,0,33,98.7,2,Oliver Purnell,-2.9
2008,Drake,5,MVC,22.3393,119.786,97.4463,61.8906,21.7,118.0,96.3,0.912,52.8,49.8,34.3,23.7,18.1,24.0,36.6,67.1,50.9,49.2,36.6,33.8,54.5,45.5,2.241,2.519,75.719,79.587,1.141,0.964,5.2,21.783,64.2,0.0,,,,,,,10,10,14.0,7,1,8,2,20,99.7,1,Keno Davis,-1.1
2008,Michigan St.,5,B10,20.8814,115.444,94.5625,62.7366,21.5,114.0,92.5,0.917,52.5,46.1,34.1,32.2,21.2,19.3,39.8,68.6,51.4,45.2,37.3,31.7,75.7,24.3,1.61,87.079,77.042,81.197,1.104,0.96,5.1,31.132,65.4,2.0,,,,,,,16,24,17.0,6,0,6,2,17,99.5,0,Tom Izzo,10.3
2008,Notre Dame,5,BE,19.1955,116.335,97.1396,68.9559,20.3,115.6,95.3,0.902,52.8,46.9,34.8,22.8,18.2,17.6,36.6,69.0,48.4,44.7,41.0,34.1,66.5,33.5,1.735,80.171,77.364,81.067,1.126,0.985,4.4,28.578,70.8,1.0,,,,,,,26,18,27.0,5,2,7,0,18,98.5,-2,Mike Brey,-1.0
2008,Marquette,6,BE,21.8442,113.463,91.6188,66.3008,23.1,113.0,89.9,0.933,50.7,45.9,37.9,40.9,19.0,24.3,38.0,66.4,49.1,46.6,35.9,29.5,66.4,33.6,1.839,55.941,75.845,79.778,1.091,0.924,3.8,31.819,68.9,1.0,,,,,,,20,27,16.0,4,3,7,0,28,98.8,2,Tom Crean,-0.7
2008,USC,6,P10,19.9654,110.663,90.6973,64.6004,18.8,108.2,89.4,0.9,53.5,44.5,38.2,27.4,22.0,20.0,31.2,65.6,51.9,43.9,38.4,30.4,72.0,28.0,0.639,65.854,77.758,80.623,1.035,0.947,3.6,36.782,67.6,0.0,,,,,,,28,32,21.0,4,8,12,1,21,98.2,0,Tim Floyd,-0.7
2008,Purdue,6,B10,18.089,109.692,91.6027,65.7787,18.5,108.7,90.2,0.895,49.0,48.9,37.6,42.4,19.4,26.6,32.8,69.0,45.3,47.2,37.0,35.0,63.9,36.1,0.848,66.368,77.694,80.62,1.031,0.918,3.8,28.915,68.2,1.0,,,,,,,45,26,30.0,5,0,5,4,19,94.8,-2,Matt Painter,-2.3
2008,Oklahoma,6,B12,15.0751,109.474,94.3986,62.5674,15.7,108.0,92.3,0.859,50.1,46.2,38.1,30.4,19.6,20.2,33.5,70.0,49.0,45.4,34.8,31.9,66.5,33.5,1.669,63.704,77.981,81.253,1.04,0.964,2.8,33.332,65.4,1.0,,,,,,,27,36,40.0,6,5,11,1,25,95.5,-3,Jeff Capel Iii,0.0
2008,West Virginia,7,BE,20.14,113.57,93.4302,63.0942,20.9,113.1,92.2,0.913,51.6,47.7,37.1,38.9,16.3,23.3,34.1,68.6,50.6,45.1,35.8,35.4,65.0,35.0,1.679,46.742,78.073,80.078,1.113,0.943,2.6,29.445,65.8,2.0,,,,,,,29,29,20.0,3,2,5,1,32,96.8,2,Bob Huggins,-0.2
2008,Gonzaga,7,WCC,19.3301,114.221,94.8911,65.1856,19.5,112.1,92.6,0.9,54.3,45.3,40.2,31.9,20.5,21.7,34.5,70.4,53.6,43.6,37.2,32.1,68.6,31.4,1.584,73.8,78.557,81.738,1.103,0.912,2.1,21.566,68.3,0.0,,,,,,,30,28,25.0,4,5,9,0,34,93.8,0,Mark Few,4.7
2008,Butler,7,Horz,19.2975,116.138,96.8401,58.5955,18.9,114.2,95.3,0.889,54.1,48.0,36.8,31.2,16.9,22.8,29.7,68.4,52.0,47.9,37.6,32.1,51.4,48.6,2.186,11.348,75.775,79.139,1.125,0.951,4.7,16.476,61.2,1.0,,,,,,,17,9,26.0,1,9,10,0,64,96.9,0,Brad Stevens,7.6
2008,Miami FL,7,ACC,14.3957,112.167,97.7713,64.7318,15.3,110.7,95.4,0.847,49.2,46.9,39.4,35.3,19.1,20.7,35.4,65.8,45.9,44.0,37.8,35.0,68.9,31.1,1.832,42.138,77.031,80.051,1.07,0.986,1.6,28.829,67.5,1.0,,,,,,,34,44,44.0,3,5,8,3,37,89.4,-3,Frank Haith,-2.8
2008,Indiana,8,B10,19.5064,114.362,94.8557,65.6213,20.5,113.6,93.1,0.908,52.4,46.9,42.7,30.0,20.2,19.9,36.1,71.1,52.6,44.8,34.6,33.8,65.2,34.8,1.587,52.71,77.392,80.08,1.104,0.951,4.8,27.986,68.6,0.0,,,,,,,22,31,24.0,5,3,8,2,31,98.1,2,Kelvin Sampson,2.6
2008,BYU,8,MWC,16.0675,106.852,90.7846,67.4202,15.6,104.9,89.3,0.864,53.3,42.8,37.6,30.3,19.7,19.1,30.8,73.8,51.5,42.5,37.4,29.0,61.3,38.7,1.659,34.988,77.758,81.128,1.051,0.895,2.5,21.025,70.4,0.0,,,,,,,25,19,34.0,2,6,8,0,42,93.5,0,Dave Rose,-1.9
2008,Mississippi St.,8,SEC,15.8174,107.347,91.5296,65.8268,15.8,106.3,90.5,0.864,52.3,42.4,38.3,27.3,21.9,18.2,35.2,67.4,53.5,39.4,33.4,32.0,63.2,36.8,1.332,69.445,77.328,80.262,1.046,0.931,0.6,23.951,68.6,1.0,,,,,,,40,34,35.0,2,3,5,0,71,53.2,-1,Rick Stansbury,0.0
2008,UNLV,8,MWC,13.6193,110.183,96.5636,63.0988,14.3,108.2,93.9,0.836,48.8,46.1,32.7,32.4,15.8,21.6,29.4,67.6,47.7,46.7,33.5,29.9,60.2,39.8,1.999,18.883,76.523,78.859,1.055,0.937,2.2,20.716,66.1,1.0,,,,,,,24,21,50.0,2,7,9,1,40,90.5,-3,Lon Kruger,-1.0
2008,Texas A&M,9,B12,19.6026,112.029,92.4268,61.5639,21.3,112.5,91.2,0.918,51.9,44.6,42.7,26.8,19.1,17.3,35.1,71.8,51.2,41.8,35.6,33.9,69.8,30.2,1.611,61.214,78.021,80.885,1.075,0.937,3.1,31.167,64.2,1.0,,,,,,,41,38,22.0,5,3,8,0,29,93.4,3,Mark Turgeon,-0.7
2008,Oregon,9,P10,16.6554,119.29,102.634,64.9184,16.6,117.8,101.2,0.852,56.3,50.2,36.9,33.3,18.6,16.4,32.3,68.8,53.9,50.1,40.1,33.6,61.0,39.0,1.946,72.871,76.175,79.668,1.13,1.065,0.8,35.62,67.9,0.0,,,,,,,58,63,32.0,4,4,8,2,39,53.3,1,Ernie Kent,-0.6
2008,Arkansas,9,SEC,14.8678,109.701,94.8336,66.2236,16.0,108.2,92.2,0.863,51.7,47.4,37.1,36.5,22.1,21.7,37.6,68.6,52.0,46.4,33.9,32.8,69.8,30.2,2.232,59.525,77.418,81.732,1.054,0.96,0.5,25.901,68.9,1.0,,,,,,,31,42,42.0,6,3,9,4,15,95.0,-1,John Pelphrey,0.4
2008,Kent St.,9,MAC,13.8274,108.462,94.6345,64.1316,12.6,106.8,94.2,0.809,52.9,46.2,41.6,38.5,21.6,24.2,36.0,64.1,51.4,45.6,37.6,31.7,69.5,30.5,1.917,13.77,75.948,78.878,1.059,0.942,2.3,17.688,66.3,0.0,,,,,,,21,17,47.0,2,9,11,3,62,85.0,-2,Jim Christian,-0.6
2008,Davidson,10,SC,20.5532,114.056,93.5027,66.0806,18.8,110.8,92.0,0.895,54.4,48.4,25.4,37.7,17.7,24.1,32.6,72.4,54.6,46.4,36.1,34.5,60.0,40.0,1.996,18.502,77.371,79.794,1.123,0.917,1.5,17.709,69.0,3.0,,,,,,,35,14,18.0,0,0,0,2,138,10.2,5,Bob Mckillop,0.3
2008,Arizona,10,P10,20.2271,116.577,96.3494,62.8325,20.4,115.1,94.7,0.904,53.9,48.3,40.2,30.8,18.6,19.1,28.0,66.4,51.3,47.5,39.6,33.7,67.9,32.1,1.403,85.102,77.029,80.331,1.088,1.015,1.5,39.295,65.3,0.0,,,,,,,37,59,19.0,5,5,10,2,16,91.8,5,Kevin O'Neill,-0.6
2008,Saint Mary's,10,WCC,15.7105,110.005,94.2943,65.4301,15.5,108.2,92.7,0.856,52.7,44.7,39.0,30.6,18.9,20.9,36.0,68.7,52.1,44.1,35.8,31.0,62.1,37.9,1.76,18.126,77.097,80.766,1.097,0.917,1.2,17.599,68.2,0.0,,,,,,,36,37,36.0,2,5,7,0,53,74.6,1,Randy Bennett,-2.6
2008,South Alabama,10,SB,12.6239,112.779,100.155,64.0943,12.3,110.5,98.2,0.795,54.0,47.9,45.7,31.2,20.6,20.5,37.9,69.5,53.2,47.2,37.0,32.6,66.5,33.5,2.249,21.566,75.45,79.1,1.123,0.973,-0.3,13.287,66.6,0.0,,,,,,,38,41,56.0,3,1,4,3,70,39.1,-2,Ronnie Arrow,-0.6
2008,Kansas St.,11,B12,18.8909,113.383,94.4917,69.2125,20.6,112.8,92.2,0.91,49.7,48.0,37.4,37.4,20.8,22.5,42.1,69.2,50.2,44.7,32.4,36.8,67.4,32.6,1.161,40.016,77.238,80.586,1.081,0.947,1.0,31.318,72.2,1.0,,,,,,,50,52,29.0,3,3,6,1,50,68.7,3,Frank Martin,4.3
2008,Baylor,11,B12,15.3717,115.389,100.017,69.34,16.4,114.6,98.2,0.855,52.1,48.0,36.1,39.9,17.2,19.5,31.8,67.4,49.7,46.3,37.6,34.7,63.6,36.4,1.742,52.034,76.527,81.574,1.104,1.018,1.5,29.784,71.6,0.0,,,,,,,43,55,38.0,3,4,7,1,56,63.1,2,Scott Drew,-0.8
2008,Saint Joseph's,11,A10,14.5658,114.718,100.152,63.5629,14.8,113.3,98.5,0.833,54.6,50.3,40.0,32.6,19.3,21.6,32.5,65.9,52.8,47.2,38.5,36.9,64.2,35.8,1.974,34.745,78.503,81.31,1.112,1.02,-1.2,23.976,65.5,0.0,,,,,,,44,48,43.0,5,3,8,4,23,63.6,1,Phil Martelli,-1.0
2008,Kentucky,11,SEC,9.70175,106.849,97.1469,61.9035,11.2,105.7,94.5,0.784,52.6,44.9,41.3,42.0,23.8,19.9,33.0,66.5,51.5,43.0,36.8,32.4,68.8,31.2,1.464,77.136,78.254,80.72,1.027,0.978,-1.1,27.594,64.5,0.0,,,,,,,57,58,83.0,4,3,7,1,30,32.3,-2,Billy Gillispie,0.0
2008,Western Kentucky,12,SB,14.0646,111.076,97.011,66.5432,13.1,108.6,95.5,0.814,53.6,46.9,36.2,47.7,20.2,25.2,37.0,67.2,51.6,46.0,38.6,32.5,67.6,32.4,2.066,16.148,76.545,79.573,1.106,0.94,0.2,14.064,69.0,2.0,,,,,,,39,25,45.0,0,1,1,1,124,5.3,2,Darrin Horn,1.5
2008,Villanova,12,BE,12.9811,108.903,95.9216,67.2121,12.7,107.7,95.0,0.809,49.0,51.3,38.4,45.9,20.4,23.9,36.9,68.6,47.7,48.4,34.2,37.0,64.4,35.6,0.994,61.386,77.261,80.258,1.053,1.002,0.3,29.494,69.4,2.0,,,,,,,51,47,55.0,4,3,7,4,36,60.8,1,Jay Wright,3.9
2008,Temple,12,A10,12.4365,112.696,100.26,62.9596,11.8,110.6,98.8,0.785,54.5,49.0,35.3,31.7,19.1,19.3,28.5,67.7,53.6,46.2,37.2,35.9,60.6,39.4,1.786,21.698,77.301,80.991,1.088,1.028,-1.7,22.398,65.5,0.0,,,,,,,47,35,60.0,4,4,8,4,43,21.0,0,Fran Dunphy,-3.5
2008,George Mason,12,CAA,10.2781,111.486,101.207,60.9624,10.4,109.2,98.8,0.76,52.8,47.3,40.3,27.3,18.7,18.3,32.2,72.2,52.8,46.4,35.2,32.8,66.6,33.4,1.976,13.842,76.226,78.876,1.091,0.973,-3.6,13.265,63.8,0.0,,,,,,,61,75,77.0,2,2,4,7,101,0.2,0,Jim Larranaga,3.1
2008,Oral Roberts,13,Sum,11.1323,104.822,93.6893,62.6931,9.9,102.3,92.4,0.763,50.1,44.5,41.3,30.0,19.4,21.0,33.5,69.1,47.7,42.3,36.7,33.6,66.5,33.5,2.475,1.838,77.204,80.741,1.046,0.934,-0.9,16.644,65.5,0.0,,,,,,,53,50,73.0,0,4,4,2,112,1.1,1,Scott Sutton,-0.2
2008,Winthrop,13,BSth,7.30673,99.6932,92.3864,60.9746,7.3,98.1,90.8,0.709,50.0,46.1,36.3,33.8,20.0,23.4,33.8,71.0,47.1,45.8,37.4,31.0,68.3,31.7,1.963,4.133,76.006,79.42,1.014,0.916,-4.2,15.705,63.5,0.0,,,,,,,108,93,96.0,1,2,3,7,121,0.0,0,Randy Peele,-0.2
2008,Siena,13,MAAC,6.75339,108.144,101.391,66.6906,6.4,106.4,100.0,0.671,50.4,51.9,34.9,25.0,15.2,24.0,31.8,63.1,48.0,49.2,37.5,38.0,70.1,29.9,1.3,10.689,75.72,79.22,1.09,1.009,-3.8,13.952,69.1,1.0,,,,,,,66,64,99.0,1,1,2,6,104,0.1,-1,Fran Mccaffery,-1.7
2008,San Diego,13,WCC,4.53284,101.501,96.9684,62.4343,3.9,98.6,94.7,0.614,49.3,48.9,36.0,33.5,21.5,22.7,32.2,69.9,48.6,48.5,34.1,33.4,72.9,27.1,1.019,3.734,75.81,78.897,0.981,0.951,-3.9,20.325,65.5,1.0,,,,,,,94,72,122.0,3,1,4,2,72,0.0,-1,Bill Grier,0.8
2008,Cal St. Fullerton,14,BW,8.87459,112.978,104.103,70.926,7.0,109.2,102.2,0.682,54.5,52.9,32.6,32.5,18.3,23.6,33.1,70.4,52.7,51.2,38.5,37.5,64.2,35.8,2.639,11.126,74.088,77.259,1.124,0.994,-3.2,10.504,74.1,0.0,,,,,,,80,51,87.0,0,1,1,3,129,0.0,1,Bob Burton,-0.2
2008,Georgia,14,SEC,7.89531,104.018,96.1227,64.1104,8.2,102.6,94.4,0.723,47.7,48.1,32.8,32.7,21.8,19.2,37.5,68.1,46.9,49.1,32.9,30.8,68.6,31.4,1.677,57.893,77.164,81.014,1.003,0.99,-3.9,28.873,66.7,0.0,,,,,,,98,95,94.0,4,3,7,4,54,0.0,1,Dennis Felton,-0.2
2008,Cornell,14,Ivy,5.04434,110.651,105.607,67.2439,3.8,107.5,103.7,0.602,56.1,48.6,34.2,35.2,20.0,20.6,28.9,69.1,53.3,45.7,40.9,36.2,65.0,35.0,1.552,1.326,76.504,80.318,1.104,0.995,-1.2,10.553,69.8,0.0,,,,,,,65,56,115.0,0,1,1,2,137,0.0,0,Steve Donahue,1.2
2008,Boise St.,14,WAC,4.12039,108.605,104.484,70.2142,3.6,106.2,102.6,0.598,57.3,49.9,40.3,33.6,21.0,19.4,30.2,70.5,56.1,48.9,39.6,34.7,64.3,35.7,2.32,1.289,76.999,79.898,1.089,1.02,-2.4,11.798,73.0,0.0,,,,,,,87,60,126.0,1,4,5,4,79,0.1,-1,Greg Graham,-0.2
2008,UMBC,15,AE,4.10027,113.762,109.662,63.0741,3.0,111.3,108.3,0.578,52.2,50.6,33.8,28.4,13.4,17.5,32.1,66.5,49.3,48.7,38.8,36.1,67.6,32.4,2.201,10.4,75.216,78.702,1.129,1.049,-3.0,11.398,66.1,0.0,,,,,,,88,77,127.0,0,1,1,6,169,0.0,0,Randy Monroe,-0.1
2008,Belmont,15,ASun,2.57916,109.436,106.857,68.1091,0.5,105.5,105.0,0.514,53.3,52.0,34.0,35.6,20.4,22.4,33.8,69.6,52.2,51.9,36.3,34.8,52.6,47.4,1.738,12.009,76.408,78.818,1.085,1.016,-3.5,9.728,71.4,0.0,,,,,,,79,73,140.0,0,0,0,4,177,0.0,0,Rick Byrd,-1.9
2008,American,15,Pat,1.686,108.308,106.622,59.5974,0.5,105.0,104.5,0.514,52.5,47.5,42.1,38.0,22.1,19.7,32.3,69.8,46.5,44.6,40.9,35.1,59.9,40.1,2.066,10.824,75.098,79.072,1.058,1.004,-5.8,11.469,62.7,0.0,,,,,,,91,98,149.0,0,1,1,8,183,0.0,0,Jeff A Jones,0.0
2008,Austin Peay,15,OVC,-0.1731,104.504,104.677,64.9848,-1.0,102.5,103.5,0.472,52.3,54.1,44.6,32.7,18.5,24.5,29.9,67.7,49.0,53.0,38.6,37.1,62.8,37.2,2.203,9.068,75.766,78.289,1.082,1.026,-5.3,9.97,67.4,0.0,,,,,,,84,100,163.0,0,2,2,5,165,0.0,-1,Dave Loos,-0.1
2008,Portland St.,16,BSky,5.83665,108.411,102.574,65.7791,3.5,105.3,101.8,0.596,54.7,50.0,38.2,35.3,20.7,21.5,34.0,68.7,51.2,49.4,39.9,34.2,59.0,41.0,2.061,1.355,75.471,80.158,1.088,1.003,-3.4,13.96,68.2,0.0,,,,,,,90,70,108.0,0,2,2,6,168,0.0,2,Ken Bone,-0.3
2008,Mount St. Mary's,16,NEC,-1.04085,99.0167,100.058,65.2309,-1.8,97.3,99.1,0.448,50.2,46.4,38.7,38.6,20.9,22.0,30.0,67.0,48.1,45.7,36.7,32.1,69.9,30.1,1.448,7.293,75.78,79.492,1.006,0.968,-9.5,9.636,67.5,0.0,,,,,,,159,133,170.0,0,0,0,11,192,0.0,0,Milan Brown,0.0
2008,UT Arlington,16,Slnd,-1.99751,101.14,103.138,68.0296,-2.1,99.1,101.2,0.44,52.5,47.1,41.5,37.9,24.1,20.8,31.8,69.5,52.7,46.3,34.7,32.2,68.7,31.3,1.839,8.575,75.415,79.132,1.006,0.971,-7.0,9.423,70.6,0.0,,,,,,,147,149,179.0,0,2,2,7,178,0.0,0,Scott Cross,-0.2
2008,Coppin St.,16,MEAC,-14.2405,92.4179,106.658,62.2413,-15.4,90.2,105.6,0.14,43.3,50.7,37.0,39.3,22.4,25.2,32.0,61.5,41.7,49.4,32.3,35.2,75.8,24.2,1.986,4.12,76.401,79.214,0.907,1.013,-13.0,16.141,63.8,,,,,,,,228,224,297.0,0,0,0,13,287,0.0,0,Fang Mitchell,0.0
2008,Mississippi Valley St.,16,SWAC,-14.9674,92.1127,107.08,62.3905,-15.3,90.0,105.3,0.141,44.3,49.7,41.6,37.5,21.8,22.9,32.5,65.5,41.5,50.9,35.2,31.3,75.0,25.0,2.49,0.2,75.534,78.682,0.927,0.997,-10.0,12.999,64.9,0.0,,,,,,,223,221,304.0,0,0,0,9,259,0.0,0,James Green,0.0
2009,Pittsburgh,1,BE,29.4777,121.48,92.002,64.7792,29.4,121.0,91.6,0.961,53.4,47.0,31.9,30.6,18.0,19.7,43.0,70.6,53.3,45.3,35.7,33.5,71.4,28.6,1.955,58.631,76.396,79.239,1.159,0.957,8.6,32.564,66.4,3.0,,,,,,,2,4,1.0,8,8,16,0,3,100.0,0,Jamie Dixon,-6.3
2009,North Carolina,1,ACC,28.5574,122.645,94.0872,72.454,28.7,121.8,93.1,0.957,52.7,47.2,39.3,25.1,17.1,20.7,40.5,68.1,51.5,44.7,37.3,35.0,72.3,27.7,2.031,92.496,77.126,80.541,1.177,0.959,7.7,28.827,74.5,6.0,,,,,,,3,3,3.0,5,9,14,0,12,99.9,0,Roy Williams,5.3
2009,Connecticut,1,BE,28.0401,114.597,86.5571,65.5863,27.6,114.7,87.1,0.96,51.1,42.5,45.1,19.3,18.2,17.3,39.9,68.7,50.8,40.5,34.7,31.3,76.5,23.5,2.167,82.019,78.134,82.734,1.11,0.918,8.7,32.844,68.0,4.0,,,,,,,8,6,4.0,8,7,15,0,7,99.9,0,Jim Calhoun,2.7
2009,Louisville,1,BE,25.3676,109.217,83.849,66.967,25.3,109.9,84.6,0.953,51.9,44.0,32.2,31.4,19.7,23.6,34.7,68.2,50.5,43.2,36.0,30.4,62.4,37.6,1.718,81.722,77.328,80.996,1.064,0.887,8.0,31.05,68.7,3.0,,,,,,,4,2,6.0,9,7,16,0,2,99.9,-1,Rick Pitino,2.6
2009,Memphis,2,CUSA,29.4398,110.759,81.3187,64.5834,27.6,109.4,81.8,0.966,49.3,40.4,39.7,34.3,18.2,23.0,38.2,69.7,49.9,39.0,32.0,29.3,69.0,31.0,1.813,77.707,78.804,81.11,1.086,0.834,6.9,22.225,67.8,2.0,,,,,,,7,1,2.0,4,11,15,0,26,99.9,1,John Calipari,9.8
